# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3813
#@/user_id	3b9f0210-6f77-41af-a981-a384e697813f
hao xiang 	好像	c=3 d=0.466656 t=3813
he 	合	c=1 d=1 t=2931
he 	和	c=6 d=1.35062 t=3813
he dan 	核彈	c=1 d=0.232236 t=3813
he ge 	合格	c=1 d=1 t=2356
he huan 	和緩	c=2 d=0.0260734 t=3813
hei 	嘿	c=0 d=0.0280832 t=3813
hei 	黑	c=1 d=0.13332 t=3813
hei hei 	嘿嘿	c=0 d=0.0280832 t=3813
hei hei hei 	嘿嘿嘿	c=1 d=0.282239 t=3813
hei se 	黑色	c=1 d=0.198891 t=3813
hei ti 	黑體	c=1 d=1 t=3051
hen 	很	c=8 d=0.814647 t=3813
hen duo 	很多	c=3 d=0.289022 t=3813
hen hao 	很好	c=1 d=1 t=2863
hen nan 	很難	c=1 d=1 t=3298
hen rong yi 	很容易	c=1 d=0.186374 t=3813
hou 	後	c=1 d=1 t=2622
hou lai 	後來	c=1 d=1 t=2170
hou qi 	後期	c=2 d=0.545443 t=3813
hou tian 	後天	c=2 d=1.54064 t=3650
hou xu 	後續	c=1 d=1 t=2169
hu 	虎	c=1 d=0.0109985 t=3813
